date,no3_mgL,q_Ls
6/1/2016,0.08,35679.168
6/1/2016,0.09,37508.69524
6/1/2016,0.1,37521.14605
6/1/2016,0.1,37521.62989
6/1/2016,0.12,37522.53305
6/1/2016,0.11,37523.22656
6/1/2016,0.09,37524.92
6/1/2016,0.1,37530.01644
6/1/2016,0.09,37532.7582
6/1/2016,0.08,37532.85497
6/1/2016,0.1,37662.15309
6/1/2016,0.1,37675.10387
6/1/2016,0.1,37676.02316
6/1/2016,0.08,37681.08735
6/1/2016,0.1,37801.0151
6/1/2016,0.09,37803.59558
6/1/2016,0.09,37824.20716
6/1/2016,0.09,37901.05704
6/1/2016,0.11,37905.9277
7/1/2016,0.22,11185.136
7/1/2016,0.22,11186.6629
7/1/2016,0.22,11758.68268
7/1/2016,0.22,11762.59598
7/1/2016,0.22,11762.75271
7/1/2016,0.21,11762.87911
7/1/2016,0.21,11763.09146
7/1/2016,0.21,11763.22292
7/1/2016,0.21,11764.33017
7/1/2016,0.21,11765.6346
7/1/2016,0.21,11766.11998
7/1/2016,0.2,11790.30763
7/1/2016,0.21,11806.65856
7/1/2016,0.21,11806.66362
7/1/2016,0.2,11806.71418
7/1/2016,0.2,11811.01679
7/1/2016,0.2,11812.10382
7/1/2016,0.2,11812.76615
7/1/2016,0.2,11849.72512
7/1/2016,0.2,11850.37734
7/1/2016,0.19,11853.82044
7/1/2016,0.19,11857.30399
7/1/2016,0.2,11858.0371
7/1/2016,0.2,11880.17204
7/1/2016,0.2,11881.71916
7/1/2016,0.2,11882.01746
7/1/2016,0.2,11882.99831
8/1/2016,0.56,5266.9248
8/1/2016,0.58,5538.83996
8/1/2016,0.58,5538.90186
8/1/2016,0.58,5538.961378
8/1/2016,0.58,5539.056608
8/1/2016,0.59,5539.137554
8/1/2016,0.58,5540.039859
8/1/2016,0.59,5540.437444
8/1/2016,0.59,5540.446967
8/1/2016,0.6,5540.461252
8/1/2016,0.61,5559.542976
8/1/2016,0.61,5559.55488
8/1/2016,0.61,5561.588041
8/1/2016,0.61,5562.259413
8/1/2016,0.62,5580.172188
8/1/2016,0.64,5581.700631
8/1/2016,0.61,5581.924421
8/1/2016,0.6,5583.698081
8/1/2016,0.61,5594.504313
8/1/2016,0.61,5594.944752
8/1/2016,0.58,5595.437567
1/1/2017,0.2,25541.7536
1/1/2017,0.2,26860.96638
1/1/2017,0.2,26861.38202
1/1/2017,0.2,26861.58985
1/1/2017,0.2,26861.87849
1/1/2017,0.2,26863.74889
1/1/2017,0.2,26868.45954
1/1/2017,0.19,26869.02528
1/1/2017,0.2,26961.56415
1/1/2017,0.22,26961.6796
1/1/2017,0.2,26972.69421
1/1/2017,0.21,26974.77244
1/1/2017,0.2,27060.47624
1/1/2017,0.19,27062.21964
1/1/2017,0.21,27069.7359
1/1/2017,0.29,27077.71399
1/1/2017,0.29,27077.77171
1/1/2017,0.3,27129.17321
1/1/2017,0.3,27132.35983
1/1/2017,0.21,27132.5792
1/1/2017,0.29,27135.89282
3/1/2017,0.31,17075.0304
3/1/2017,0.29,17943.32553
3/1/2017,0.28,17947.13767
3/1/2017,0.29,17947.70872
3/1/2017,0.12,17947.7936
3/1/2017,0.28,17947.8399
3/1/2017,0.28,17949.27524
3/1/2017,0.29,17956.30531
3/1/2017,0.28,17956.79919
3/1/2017,0.28,17957.16189
3/1/2017,0.29,17957.37024
3/1/2017,0.28,17958.59723
3/1/2017,0.28,18020.47885
3/1/2017,0.28,18020.53287
3/1/2017,0.27,18027.90249
3/1/2017,0.27,18086.92115
3/1/2017,0.27,18092.44643
3/1/2017,0.43,18098.01802
3/1/2017,0.42,18132.01857
3/1/2017,0.45,18134.78893
3/1/2017,0.33,18136.8339
4/1/2017,0.1,24465.7152
4/1/2017,0.13,25728.99448
4/1/2017,0.13,25729.16037
4/1/2017,0.14,25729.32625
4/1/2017,0.11,25729.72438
4/1/2017,0.09,25730.18886
4/1/2017,0.1,25731.89196
4/1/2017,0.11,25734.21437
4/1/2017,0.12,25736.49254
4/1/2017,0.11,25825.21958
4/1/2017,0.1,25825.33017
4/1/2017,0.12,25836.16808
4/1/2017,0.11,25837.84906
4/1/2017,0.11,25920.82537
4/1/2017,0.05,25921.61057
4/1/2017,0.11,25928.15754
4/1/2017,0.12,25928.73262
4/1/2017,0.19,25929.06439
4/1/2017,0.18,25936.34127
4/1/2017,0.18,25937.01587
4/1/2017,0.18,25984.91277
4/1/2017,0.2,
4/1/2017,0.19,
5/1/2017,0,35396
5/1/2017,0,37223.64351
5/1/2017,0,37223.8835
5/1/2017,0,37224.12348
5/1/2017,0,37224.76344
5/1/2017,0,37225.27541
5/1/2017,0,37225.30741
5/1/2017,0,37232.52295
5/1/2017,0.14,37232.66694
5/1/2017,0,37360.91476
5/1/2017,0,37361.04276
5/1/2017,0,37376.27379
5/1/2017,0,37378.20966
5/1/2017,0,37498.18602
5/1/2017,0,37500.76185
5/1/2017,0,37511.30518
5/1/2017,0.09,37522.55246
5/1/2017,0.1,37592.70799
5/1/2017,0.1,37598.37163
5/1/2017,0.1,37601.31544
5/1/2017,0.09,37602.11539
6/1/2017,0.51,7390.6848
6/1/2017,0.49,7772.181376
6/1/2017,0.49,7772.274916
6/1/2017,0.49,7772.408543
6/1/2017,0.5,7772.558874
6/1/2017,0.48,7772.655754
6/1/2017,0.48,7773.698049
6/1/2017,0.48,7774.392912
6/1/2017,0.48,7801.195254
6/1/2017,0.46,7804.061565
6/1/2017,0.46,7804.779812
6/1/2017,0.47,7829.657918
6/1/2017,0.48,7830.225835
6/1/2017,0.46,7832.517547
6/1/2017,0.87,7834.645565
6/1/2017,0.81,7835.129965
6/1/2017,0.8,7849.755498
6/1/2017,0.78,7850.777749
6/1/2017,0.79,7850.984872
6/1/2017,0.76,7851.425843
6/1/2017,0.8,7851.683076
